Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,7.908721
1,Clockticks,189067008000
2,Performance-core (P-core),36177024000
2,Efficient-core (E-core),152889984000
1,Instructions Retired,313560000000
2,Performance-core (P-core),34235136000
2,Efficient-core (E-core),279324864000
1,CPI Rate,0.602969
2,Performance-core (P-core),1.056722
2,Efficient-core (E-core),0.547355
1,MUX Reliability,0.994866
1,Performance-core (P-core),
2,Retiring,32.6
3,Light Operations,25.9
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,3.6
4,Fused Instructions,4.0
4,Non Fused Branches,3.7
4,Other,14.7
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,6.7
4,Few Uops Instructions,6.7
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,45.2
3,Front-End Latency,24.1
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.1
4,ITLB Misses,0.2
5,Code STLB Hit,0.1
5,Code STLB Miss,0.1
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,5.4
5,Mispredicts Resteers,5.5
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.2
3,Front-End Bandwidth,21.2
4,Front-End Bandwidth MITE,0.2
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,31.3
4,Front-End Bandwidth LSD,0.5
4,MS,0.0
4,(Info) DSB Coverage,72.8
4,(Info) LSD Coverage,11.1
4,(Info) DSB Misses,1.0
2,Bad Speculation,19.0
3,Branch Mispredict,19.4
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,3.2
3,Memory Bound,0.3
4,L1 Bound,17.8
5,DTLB Overhead,0.0
6,Load STLB Hit,0.0
6,Load STLB Miss,0.0
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,5.5
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.0
4,L2 Bound,0.0
5,L2 Hit Latency,0.0
4,L3 Bound,0.4
5,L3 Latency,0.0
5,SQ Full,0.0
4,DRAM Bound,0.0
5,Memory Bandwidth,0.1
5,Memory Latency,1.0
4,Store Bound,0.7
5,Store Latency,0.1
5,Split Stores,0.0
5,DTLB Store Overhead,0.0
6,Store STLB Hit,0.0
6,Store STLB Miss,0.0
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,2.9
4,Divider,13.8
5,FP Divider,0.4
5,INT Divider,13.4
4,Serializing Operations,0.2
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,38.1
5,Cycles of 0 Ports Utilized,0.6
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,28.3
5,Cycles of 2 Ports Utilized,19.6
5,Cycles of 3+ Ports Utilized,12.6
6,ALU Operation Utilization,37.6
7,Port 0,36.8
7,Port 1,33.6
7,Port 6,47.9
6,Load Operation Utilization,10.9
6,Store Operation Utilization,0.0
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,38.8
3,Arith Ops,33.3
4,Non Divider,31.8
4,FP Divide,0.0
4,Int Divider,1.5
3,Mem Ops,5.5
4,Loads,5.5
4,Stores,0.0
2,Front-End Bound,32.6
3,IFetch Latency,0.7
4,ICache Misses,0.0
4,ITLB Misses,0.1
4,BACLEARS,0.0
4,Branch Resteers,0.5
3,IFetch Bandwidth,32.0
4,Cisc,10.5
4,Decode,3.3
4,Pre-Decode Wrong,0.0
4,Front-End Other,18.1
2,Bad Speculation,26.1
3,Branch Mispredict,25.8
3,Machine Clears,0.3
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,2.5
3,Memory Subsystem Bound,0.7
4,L2 Bound,0.2
4,L2 Miss,0.1
5,L3 Bound,0.1
5,Memory Bound,0.0
3,Core Bound,1.7
4,Serializing Operations,0.6
5,Pause,0.1
5,TPause,0.0
4,L1 Bound,0.1
4,RB Bound,0.0
4,Store Bound,0.0
4,Execution Bound,1.0
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.000224
3,Load Bound,0.008236
1,Average CPU Frequency,2854756865.707288
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,73.3% (7.334 out of 10)
1,Effective Logical Core Utilization,69.8% (8.374 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K2_Dzielenie_równoległe.exe "-m" "2" "-n" "100000000" "-t" "1" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,200031923
1,Collection start time,16:33:27 20/05/2026 UTC
1,Collection stop time,16:33:35 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009036
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
