Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,2.213222
1,Clockticks,28801344000
2,Performance-core (P-core),8858304000
2,Efficient-core (E-core),19943040000
1,Instructions Retired,9072960000
2,Performance-core (P-core),3129984000
2,Efficient-core (E-core),5942976000
1,CPI Rate,3.174415
2,Performance-core (P-core),2.830144
2,Efficient-core (E-core),3.355733
1,MUX Reliability,0.951417
1,Performance-core (P-core),
2,Retiring,16.6
3,Light Operations,16.2
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,2.7
4,Fused Instructions,0.0
4,Non Fused Branches,3.6
4,Other,9.9
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.3
4,Few Uops Instructions,0.3
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,10.0
3,Front-End Latency,3.1
4,ICache Misses,1.1
5,Code L2 Hit,0.4
5,Code L2 Miss,0.7
4,ITLB Misses,2.0
5,Code STLB Hit,1.7
5,Code STLB Miss,0.3
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,3.1
5,Mispredicts Resteers,0.0
5,Clears Resteers,3.1
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.5
3,Front-End Bandwidth,6.9
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.7
4,Front-End Bandwidth LSD,0.7
4,MS,0.0
4,(Info) DSB Coverage,7.9
4,(Info) LSD Coverage,65.8
4,(Info) DSB Misses,0.2
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,100.0
3,Memory Bound,81.0
4,L1 Bound,1.4
5,DTLB Overhead,0.9
6,Load STLB Hit,0.3
6,Load STLB Miss,0.7
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,6.6
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,70.8
4,L2 Bound,0.4
5,L2 Hit Latency,0.0
4,L3 Bound,2.5
5,L3 Latency,0.0
5,SQ Full,5.8
4,DRAM Bound,1.4
5,Memory Bandwidth,0.7
5,Memory Latency,11.2
4,Store Bound,67.2
5,Store Latency,75.5
5,Split Stores,0.0
5,DTLB Store Overhead,60.3
6,Store STLB Hit,0.0
6,Store STLB Miss,60.3
7,Store STLB Miss 4K,60.3
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,19.0
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,2.0
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,64.8
5,Cycles of 0 Ports Utilized,60.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,3.6
5,Cycles of 2 Ports Utilized,3.6
5,Cycles of 3+ Ports Utilized,5.8
6,ALU Operation Utilization,5.9
7,Port 0,5.9
7,Port 1,5.9
7,Port 6,4.5
6,Load Operation Utilization,2.5
6,Store Operation Utilization,3.0
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,5.9
3,Arith Ops,3.2
4,Non Divider,3.2
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,2.7
4,Loads,1.8
4,Stores,0.9
2,Front-End Bound,3.4
3,IFetch Latency,0.5
4,ICache Misses,0.2
4,ITLB Misses,0.1
4,BACLEARS,0.1
4,Branch Resteers,0.0
3,IFetch Bandwidth,2.8
4,Cisc,0.6
4,Decode,1.1
4,Pre-Decode Wrong,0.0
4,Front-End Other,1.1
2,Bad Speculation,0.0
3,Branch Mispredict,0.3
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,90.9
3,Memory Subsystem Bound,1.0
4,L2 Bound,0.3
4,L2 Miss,1.0
5,L3 Bound,0.7
5,Memory Bound,0.2
3,Core Bound,89.9
4,Serializing Operations,2.6
5,Pause,1.3
5,TPause,0.0
4,L1 Bound,2.4
4,RB Bound,0.0
4,Store Bound,46.7
4,Execution Bound,38.0
4,Allocation Bound,0.1
5,Allocation Restriction,0.1
2,Info Metrics,
3,Stores Bound,0.466675
3,Load Bound,0.034498
1,Average CPU Frequency,1691814417.715637
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,57.4% (5.740 out of 10)
1,Effective Logical Core Utilization,63.8% (7.662 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K4_Sito_równoległe_funkcyjne_zapis.exe "-m" "2" "-n" "50000000" "-t" "10" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,50873251
1,Collection start time,16:40:49 20/05/2026 UTC
1,Collection stop time,16:40:51 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009069
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
