Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,5.002158
1,Clockticks,57063552000
2,Performance-core (P-core),10735296000
2,Efficient-core (E-core),46328256000
1,Instructions Retired,24792768000
2,Performance-core (P-core),4807296000
2,Efficient-core (E-core),19985472000
1,CPI Rate,2.301621
2,Performance-core (P-core),2.233126
2,Efficient-core (E-core),2.318097
1,MUX Reliability,0.990135
1,Performance-core (P-core),
2,Retiring,16.6
3,Light Operations,14.5
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,4.9
4,Fused Instructions,1.1
4,Non Fused Branches,2.5
4,Other,6.1
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,2.0
4,Few Uops Instructions,2.0
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,24.4
3,Front-End Latency,7.4
4,ICache Misses,0.6
5,Code L2 Hit,0.3
5,Code L2 Miss,0.3
4,ITLB Misses,5.4
5,Code STLB Hit,5.3
5,Code STLB Miss,0.1
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,6.7
5,Mispredicts Resteers,4.6
5,Clears Resteers,2.1
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,1.1
3,Front-End Bandwidth,17.1
4,Front-End Bandwidth MITE,0.6
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,22.6
4,Front-End Bandwidth LSD,1.2
4,MS,1.0
4,(Info) DSB Coverage,100.0
4,(Info) LSD Coverage,10.1
4,(Info) DSB Misses,1.0
2,Bad Speculation,33.7
3,Branch Mispredict,23.2
4,Other Mispredicts,4.6
3,Machine Clears,10.5
4,Other Nukes,10.5
2,Back-End Bound,25.3
3,Memory Bound,17.2
4,L1 Bound,13.1
5,DTLB Overhead,8.6
6,Load STLB Hit,0.4
6,Load STLB Miss,8.1
7,Load STLB Miss 4K,8.1
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,5.2
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,18.5
4,L2 Bound,1.5
5,L2 Hit Latency,0.0
4,L3 Bound,3.9
5,L3 Latency,0.0
5,SQ Full,5.7
4,DRAM Bound,20.9
5,Memory Bandwidth,40.5
5,Memory Latency,24.1
4,Store Bound,0.9
5,Store Latency,3.3
5,Split Stores,0.0
5,DTLB Store Overhead,4.4
6,Store STLB Hit,2.4
6,Store STLB Miss,2.0
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,8.1
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,5.0
5,Slow Pause,3.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,21.5
5,Cycles of 0 Ports Utilized,0.5
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,17.3
5,Cycles of 2 Ports Utilized,13.7
5,Cycles of 3+ Ports Utilized,10.1
6,ALU Operation Utilization,20.2
7,Port 0,17.4
7,Port 1,17.4
7,Port 6,30.2
6,Load Operation Utilization,13.2
6,Store Operation Utilization,4.6
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,9.3
3,Arith Ops,6.4
4,Non Divider,6.4
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,2.9
4,Loads,2.4
4,Stores,0.5
2,Front-End Bound,19.8
3,IFetch Latency,1.7
4,ICache Misses,0.5
4,ITLB Misses,0.2
4,BACLEARS,0.1
4,Branch Resteers,0.9
3,IFetch Bandwidth,18.0
4,Cisc,1.5
4,Decode,8.9
4,Pre-Decode Wrong,0.0
4,Front-End Other,7.8
2,Bad Speculation,28.2
3,Branch Mispredict,27.6
3,Machine Clears,0.6
4,Ucode_Assist,0.0
4,Machine_Restart,0.3
2,Back-End Bound,42.7
3,Memory Subsystem Bound,24.1
4,L2 Bound,1.9
4,L2 Miss,22.1
5,L3 Bound,4.0
5,Memory Bound,18.1
3,Core Bound,18.6
4,Serializing Operations,5.2
5,Pause,2.2
5,TPause,0.0
4,L1 Bound,1.1
4,RB Bound,0.1
4,Store Bound,0.5
4,Execution Bound,11.5
4,Allocation Bound,0.2
5,Allocation Restriction,0.2
2,Info Metrics,
3,Stores Bound,0.004748
3,Load Bound,0.251772
1,Average CPU Frequency,1424243967.694604
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,66.9% (6.685 out of 10)
1,Effective Logical Core Utilization,65.9% (7.905 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K4a_Sito_równoległe_funkcyjne_odczyt_zapis.exe "-m" "2" "-n" "100000000" "-t" "10" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,60971518
1,Collection start time,16:41:23 20/05/2026 UTC
1,Collection stop time,16:41:28 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009046
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
