variant; schedule; chunk_size; block_size; range_name; avg_time; std_dev; loops; trials
k2; static; None; None; min_max; 8.243; 0.117; 1; 5
k2; static; 1; None; min_max; 14.612; 0.445; 1; 5
k2; static; 10; None; min_max; 7.092; 0.044; 1; 5
k2; static; 100; None; min_max; 6.583; 0.028; 1; 5
k2; static; 1000; None; min_max; 6.518; 0.034; 1; 5
k2; static; 5000; None; min_max; 6.712; 0.22; 1; 5
k2; dynamic; None; None; min_max; 8.529; 0.16; 1; 5
k2; dynamic; 1; None; min_max; 9.78; 0.107; 1; 5
k2; dynamic; 10; None; min_max; 6.807; 0.079; 1; 5
k2; dynamic; 100; None; min_max; 6.494; 0.027; 1; 5
k2; dynamic; 1000; None; min_max; 6.577; 0.21; 1; 5
k2; dynamic; 5000; None; min_max; 6.473; 0.015; 1; 5
k2; guided; None; None; min_max; 8.58; 0.168; 1; 5
k2; guided; 1; None; min_max; 6.506; 0.044; 1; 5
k2; guided; 10; None; min_max; 6.534; 0.023; 1; 5
k2; guided; 100; None; min_max; 6.841; 0.111; 1; 5
k2; guided; 1000; None; min_max; 7.192; 0.336; 1; 5
k2; guided; 5000; None; min_max; 6.876; 0.133; 1; 5
