variant; schedule; chunk_size; block_size; range_name; avg_time; std_dev; loops; trials
k3a; None; None; 12288; min_max; 4.993; 0.122; 20; 5
k3a; None; None; 12288; half_max; 2.609; 0.063; 20; 5
k3a; None; None; 12288; min_half; 2.081; 0.019; 20; 5
k3a; None; None; 24576; min_max; 3.556; 0.015; 20; 5
k3a; None; None; 24576; half_max; 1.817; 0.023; 20; 5
k3a; None; None; 24576; min_half; 1.572; 0.026; 20; 5
k3a; None; None; 49152; min_max; 2.809; 0.012; 20; 5
k3a; None; None; 49152; half_max; 1.45; 0.023; 20; 5
k3a; None; None; 49152; min_half; 1.291; 0.021; 20; 5
k3a; None; None; 65536; min_max; 2.801; 0.017; 20; 5
k3a; None; None; 65536; half_max; 1.443; 0.031; 20; 5
k3a; None; None; 65536; min_half; 1.315; 0.012; 20; 5
k3a; None; None; 131072; min_max; 2.743; 0.029; 20; 5
k3a; None; None; 131072; half_max; 1.389; 0.02; 20; 5
k3a; None; None; 131072; min_half; 1.289; 0.032; 20; 5
k3a; None; None; 262144; min_max; 2.666; 0.044; 20; 5
k3a; None; None; 262144; half_max; 1.326; 0.007; 20; 5
k3a; None; None; 262144; min_half; 1.26; 0.017; 20; 5
k3a; None; None; 524288; min_max; 2.617; 0.048; 20; 5
k3a; None; None; 524288; half_max; 1.39; 0.039; 20; 5
k3a; None; None; 524288; min_half; 1.314; 0.025; 20; 5
k3a; None; None; 1048576; min_max; 2.648; 0.054; 20; 5
k3a; None; None; 1048576; half_max; 1.366; 0.032; 20; 5
k3a; None; None; 1048576; min_half; 1.312; 0.044; 20; 5
k3a; None; None; 2097152; min_max; 3.58; 0.014; 20; 5
k3a; None; None; 2097152; half_max; 2.002; 0.021; 20; 5
k3a; None; None; 2097152; min_half; 1.783; 0.032; 20; 5
k3a; None; None; 4194304; min_max; 4.097; 0.052; 20; 5
k3a; None; None; 4194304; half_max; 2.118; 0.027; 20; 5
k3a; None; None; 4194304; min_half; 1.967; 0.028; 20; 5
