variant; schedule; chunk_size; block_size; range_name; avg_time; std_dev; loops; trials
k4a; static; None; None; min_max; 8.422; 0.591; 10; 5
k4a; static; 1; None; min_max; 3.8; 0.348; 10; 5
k4a; static; 10; None; min_max; 5.7; 0.588; 10; 5
k4a; static; 100; None; min_max; 6.791; 0.774; 10; 5
k4a; static; 1000; None; min_max; 7.051; 0.124; 10; 5
k4a; static; 5000; None; min_max; 7.204; 0.019; 10; 5
k4a; dynamic; None; None; min_max; 7.243; 0.143; 10; 5
k4a; dynamic; 1; None; min_max; 2.889; 0.052; 10; 5
k4a; dynamic; 10; None; min_max; 4.828; 0.163; 10; 5
k4a; dynamic; 100; None; min_max; 6.249; 0.081; 10; 5
k4a; dynamic; 1000; None; min_max; 7.172; 0.17; 10; 5
k4a; dynamic; 5000; None; min_max; 7.26; 0.053; 10; 5
k4a; guided; None; None; min_max; 7.195; 0.029; 10; 5
k4a; guided; 1; None; min_max; 7.372; 0.104; 10; 5
k4a; guided; 10; None; min_max; 7.305; 0.034; 10; 5
k4a; guided; 100; None; min_max; 7.259; 0.045; 10; 5
k4a; guided; 1000; None; min_max; 7.222; 0.077; 10; 5
k4a; guided; 5000; None; min_max; 7.31; 0.049; 10; 5
