variant; schedule; chunk_size; block_size; range_name; avg_time; std_dev; loops; trials
k5     ; static  ; None      ;      49152; min_max   ;    0.864;   0.025;    30;      5
k5     ; static  ; 1         ;      49152; min_max   ;    0.867;   0.13 ;    30;      5
k5     ; static  ; 10        ;      49152; min_max   ;    1.112;   0.148;    30;      5
k5     ; static  ; 100       ;      49152; min_max   ;    0.967;   0.011;    30;      5
k5     ; static  ; 1000      ;      49152; min_max   ;    3.176;   0.043;    30;      5
k5     ; static  ; 5000      ;      49152; min_max   ;    4.68 ;   0.011;    30;      5
k5     ; dynamic ; None      ;      49152; min_max   ;    0.943;   0.042;    30;      5
k5     ; dynamic ; 1         ;      49152; min_max   ;    0.837;   0.002;    30;      5
k5     ; dynamic ; 10        ;      49152; min_max   ;    0.912;   0.066;    30;      5
k5     ; dynamic ; 100       ;      49152; min_max   ;    1.01 ;   0.017;    30;      5
k5     ; dynamic ; 1000      ;      49152; min_max   ;    3.103;   0.063;    30;      5
k5     ; dynamic ; 5000      ;      49152; min_max   ;    4.657;   0.081;    30;      5
k5     ; guided  ; None      ;      49152; min_max   ;    0.966;   0.149;    30;      5
k5     ; guided  ; 1         ;      49152; min_max   ;    0.79 ;   0.025;    30;      5
k5     ; guided  ; 10        ;      49152; min_max   ;    0.8  ;   0.023;    30;      5
k5     ; guided  ; 100       ;      49152; min_max   ;    0.921;   0.006;    30;      5
k5     ; guided  ; 1000      ;      49152; min_max   ;    2.913;   0.034;    30;      5
k5     ; guided  ; 5000      ;      49152; min_max   ;    4.634;   0.036;    30;      5
k5     ; static  ; None      ;      65536; min_max   ;    1.009;   0.124;    30;      5
k5     ; static  ; 1         ;      65536; min_max   ;    1.007;   0.054;    30;      5
k5     ; static  ; 10        ;      65536; min_max   ;    0.963;   0.033;    30;      5
k5     ; static  ; 100       ;      65536; min_max   ;    1.158;   0.052;    30;      5
k5     ; static  ; 1000      ;      65536; min_max   ;    3.364;   0.034;    30;      5
k5     ; static  ; 5000      ;      65536; min_max   ;    4.858;   0.107;    30;      5
k5     ; dynamic ; None      ;      65536; min_max   ;    1.048;   0.074;    30;      5
k5     ; dynamic ; 1         ;      65536; min_max   ;    0.853;   0.023;    30;      5
k5     ; dynamic ; 10        ;      65536; min_max   ;    0.864;   0.02 ;    30;      5
k5     ; dynamic ; 100       ;      65536; min_max   ;    1.089;   0.008;    30;      5
k5     ; dynamic ; 1000      ;      65536; min_max   ;    3.344;   0.024;    30;      5
k5     ; dynamic ; 5000      ;      65536; min_max   ;    4.764;   0.077;    30;      5
