variant; schedule; chunk_size; block_size; range_name; avg_time; std_dev; loops; trials
k1; None; None; None; min_max; 67.555; 0.393; 1; 5
k1; None; None; None; half_max; 42.521; 0.412; 1; 5
k1; None; None; None; min_half; 25.481; 0.176; 1; 5
k2-guided-1; guided; 1; None; min_max; 7.353; 0.212; 1; 5
k2-guided-1; guided; 1; None; half_max; 4.825; 0.211; 1; 5
k2-guided-1; guided; 1; None; min_half; 2.423; 0.061; 1; 5
k3; None; None; None; min_max; 18.021; 0.245; 20; 5
k3; None; None; None; half_max; 8.472; 0.072; 20; 5
k3; None; None; None; min_half; 8.297; 0.337; 20; 5
k3a-512KB; None; None; 524288; min_max; 2.846; 0.023; 20; 5
k3a-512KB; None; None; 524288; half_max; 1.453; 0.007; 20; 5
k3a-512KB; None; None; 524288; min_half; 1.376; 0.005; 20; 5
k4-dynamic-1; dynamic; 1; None; min_max; 4.126; 0.237; 10; 5
k4-dynamic-1; dynamic; 1; None; half_max; 1.677; 0.069; 10; 5
k4-dynamic-1; dynamic; 1; None; min_half; 1.881; 0.322; 10; 5
k4a-dynamic-1; dynamic; 1; None; min_max; 2.885; 0.066; 10; 5
k4a-dynamic-1; dynamic; 1; None; half_max; 1.279; 0.032; 10; 5
k4a-dynamic-1; dynamic; 1; None; min_half; 1.444; 0.293; 10; 5
k5-guided-1; guided; 1; 65536; min_max; 1.43; 0.052; 50; 5
k5-guided-1; guided; 1; 65536; half_max; 0.765; 0.022; 50; 5
k5-guided-1; guided; 1; 65536; min_half; 0.717; 0.028; 50; 5
